"Notes","Cancer Sites","Cancer Sites Code",Deaths,Population,Age-Adjusted Rate,Crude Rate
,"All Cancer Sites Combined","0",13249871,7089303935,169.8,186.9
,"Oral Cavity and Pharynx","20010-20100",202757,7089303935,2.6,2.9
,"Lip","20010",1603,7089303935,0.0,0.0
,"Tongue","20020",50975,7089303935,0.6,0.7
,"Salivary Gland","20030",19383,7089303935,0.2,0.3
,"Floor of Mouth","20040",2532,7089303935,0.0,0.0
,"Gum and Other Mouth","20050",29531,7089303935,0.4,0.4
,"Nasopharynx","20060",15211,7089303935,0.2,0.2
,"Tonsil","20070",18919,7089303935,0.2,0.3
,"Oropharynx","20080",20409,7089303935,0.3,0.3
,"Hypopharynx","20090",8216,7089303935,0.1,0.1
,"Other Oral Cavity and Pharynx","20100",35978,7089303935,0.5,0.5
,"Digestive System","21010-21130",3335481,7089303935,42.6,47.0
,"Esophagus","21010",325655,7089303935,4.1,4.6
,"Stomach","21020",264995,7089303935,3.4,3.7
,"Small Intestine","21030",30184,7089303935,0.4,0.4
,"Colon and Rectum","21041-21052",1226249,7089303935,15.7,17.3
,"Colon excluding Rectum","21041-21049",1005297,7089303935,12.9,14.2
,"Rectum and Rectosigmoid Junction","21051-21052",220952,7089303935,2.8,3.1
,"Anus, Anal Canal and Anorectum","21060",19951,7089303935,0.3,0.3
,"Liver and Intrahepatic Bile Duct","21071-21072",475669,7089303935,6.0,6.7
,"Liver","21071",359957,7089303935,4.5,5.1
,"Intrahepatic Bile Duct","21072",115712,7089303935,1.5,1.6
,"Gallbladder","21080",47593,7089303935,0.6,0.7
,"Other Biliary","21090",37345,7089303935,0.5,0.5
,"Pancreas","21100",858522,7089303935,10.9,12.1
,"Retroperitoneum","21110",5733,7089303935,0.1,0.1
,"Peritoneum, Omentum and Mesentery","21120",16950,7089303935,0.2,0.2
,"Other Digestive Organs","21130",26635,7089303935,0.3,0.4
,"Respiratory System","22010-22060",3620395,7089303935,46.1,51.1
,"Nose, Nasal Cavity and Middle Ear","22010",11259,7089303935,0.1,0.2
,"Larynx","22020",86484,7089303935,1.1,1.2
,"Lung and Bronchus","22030",3515283,7089303935,44.8,49.6
,"Pleura","22050",1551,7089303935,0.0,0.0
,"Trachea, Mediastinum and Other Respiratory Organs","22060",5818,7089303935,0.1,0.1
,"Bones and Joints","23000",33875,7089303935,0.5,0.5
,"Soft Tissue including Heart","24000",99417,7089303935,1.3,1.4
,"Skin excluding Basal and Squamous","25010-25020",265403,7089303935,3.4,3.7
,"Melanoma of the Skin","25010",192638,7089303935,2.5,2.7
,"Other Non-Epithelial Skin","25020",72765,7089303935,0.9,1.0
,"Male and Female Breast","26000",961685,7089303935,12.4,13.6
,"Female Breast","26000-Female",951782,3594815885,22.2,26.5
,"Male Breast","26000-Male",9903,3494488050,0.3,0.3
,"Female Genital System","27010-27070",669491,3594815885,15.6,18.6
,"Cervix Uteri","27010",93990,3594815885,2.4,2.6
,"Corpus Uteri","27020",98850,3594815885,2.2,2.7
